Year,Month,Day,Hour,Value
2006,2,12,21,6659
2006,2,12,22,6382
2006,2,12,23,6104
2006,2,13,0,5813
2006,2,13,1,5587
2006,2,13,2,5528
2006,2,13,3,5453
2006,2,13,4,5447
2006,2,13,5,5495
2006,2,13,6,5728
2006,2,13,7,6267
2006,2,13,8,6985
2006,2,13,9,7256
2006,2,13,10,7436
2006,2,13,11,7369
2006,2,13,12,7223
2006,2,13,13,7284
2006,2,13,14,7314
2006,2,13,15,7210
2006,2,13,16,6974
2006,2,13,17,6968
2006,2,13,18,7137
2006,2,13,19,7537
2006,2,13,20,7632
2006,2,13,21,7614
2006,2,13,22,7158
2006,2,13,23,6785
2006,2,14,0,6412
2006,2,14,1,6062
2006,2,14,2,5905
2006,2,14,3,5780
2006,2,14,4,5831
2006,2,14,5,5900
2006,2,14,6,5967
2006,2,14,7,6369
2006,2,14,8,7013
2006,2,14,9,7373
2006,2,14,10,7450
2006,2,14,11,7379
2006,2,14,12,7165
2006,2,14,13,7111
2006,2,14,14,7311
2006,2,14,15,7233
2006,2,14,16,7067
2006,2,14,17,6972
2006,2,14,18,7088
2006,2,14,19,7571
2006,2,14,20,7703
2006,2,14,21,7555
2006,2,14,22,7243
2006,2,14,23,6781
2006,2,15,0,6434
2006,2,15,1,6161
2006,2,15,2,6065
2006,2,15,3,5971
2006,2,15,4,5968
2006,2,15,5,6003
2006,2,15,6,6206
2006,2,15,7,6618
2006,2,15,8,7115
2006,2,15,9,7463
2006,2,15,10,7559
2006,2,15,11,7379
2006,2,15,12,7245
2006,2,15,13,7279
2006,2,15,14,7293
2006,2,15,15,7223
2006,2,15,16,6979
2006,2,15,17,6931
2006,2,15,18,7014
2006,2,15,19,7582
2006,2,15,20,7717
2006,2,15,21,7583
2006,2,15,22,7332
2006,2,15,23,6916
2006,2,16,0,6523
2006,2,16,1,6279
2006,2,16,2,6126
2006,2,16,3,6018
2006,2,16,4,6008
2006,2,16,5,5987
2006,2,16,6,6166
2006,2,16,7,6630
2006,2,16,8,7252
